kg	1 kg	kg
kilogram	1 kg	kg
s	1 s	s
second	1 s	s
m	1 m	m
meter	1 m	m
A	1 A	A
ampere	1 A	A
amp	1 A	ampere
cd	1 cd	cd
candela	1 cd	cd
mol	1 mol	mol
mole	1 mol	mol
K	1 K	K
kelvin	1 K	K
spin	1.05457180005237273e-34 m^2*kg/s	hbar
G	6.67408000000000034e-11 m^3/kg*s^2	6.67408e-11 N m^2 / kg^2
coulombconst	8987551787.36817741 m^3*kg/s^4*A^2	1/4 pi epsilon0
atomicmassunit	1.66053903999999989e-27 kg	1.660539040e-27 kg
u	1.66053903999999989e-27 kg	atomicmassunit
amu	1.66053903999999989e-27 kg	atomicmassunit
amu_chem	1.66026000000000016e-27 kg	1.66026e-27 kg
amu_phys	1.65980999999999993e-27 kg	1.65981e-27 kg
dalton	1.66053903999999989e-27 kg	u
avogadro	6.02214085854916197e+23 mol^-1	grams/amu mol
N_A	6.02214085854916197e+23 mol^-1	avogadro
boltzmann	1.38064851999999986e-23 m^2*kg/s^2*K	1.38064852e-23 J/K
k	1.38064851999999986e-23 m^2*kg/s^2*K	boltzmann
kboltzmann	1.38064851999999986e-23 m^2*kg/s^2*K	boltzmann
stefanboltzmann	5.67036681748245458e-08 kg/s^3*K^4	pi^2 k^4 / 60 hbar^3 c^2
sigma	5.67036681748245458e-08 kg/s^3*K^4	stefanboltzmann
wiendisplacement	0.00289777290000000015 m*K	2.8977729e-3 m K
K_J90	483597900000000 s^2*A/m^2*kg	483597.9 GHz/V
K_J	483597852500000 s^2*A/m^2*kg	483597.8525 GHz/V
R_K90	25812.8070000000007 m^2*kg/s^3*A^2	25812.807 ohm
R_K	25812.8074554999985 m^2*kg/s^3*A^2	25812.8074555 ohm
gravity	9.80664999999999942 m/s^2	9.80665 m/s^2
force	9.80664999999999942 m/s^2	gravity
atm	101325 kg/m*s^2	101325 Pa
atmosphere	101325 kg/m*s^2	atm
Hg	133322.387414999976 kg/m^2*s^2	13.5951 gram force / cm^3
water	9806.64999999999782 kg/m^2*s^2	gram force/cm^3
waterdensity	999.999999999999886 kg/m^3	gram / cm^3
H2O	9806.64999999999782 kg/m^2*s^2	water
wc	9806.64999999999782 kg/m^2*s^2	water
mach	331.45999999999998 m/s	331.46 m/s
standardtemp	273.149999999999977 K	273.15 K
stdtemp	273.149999999999977 K	standardtemp
Hg10C	133084.085819999978 kg/m^2*s^2	13.5708 force gram / cm^3
Hg20C	132842.84222999998 kg/m^2*s^2	13.5462 force gram / cm^3
Hg23C	132768.311689999973 kg/m^2*s^2	13.5386 force gram / cm^3
Hg30C	132602.579304999963 kg/m^2*s^2	13.5217 force gram / cm^3
Hg40C	132363.297044999985 kg/m^2*s^2	13.4973 force gram / cm^3
Hg60F	132952.676709999971 kg/m^2*s^2	13.5574 force gram / cm^3
H2O0C	9805.37513549999858 kg/m^2*s^2	0.99987 force gram / cm^3
H2O5C	9806.55193349999718 kg/m^2*s^2	0.99999 force gram / cm^3
H2O10C	9804.0022044999987 kg/m^2*s^2	0.99973 force gram / cm^3
H2O15C	9798.11821449999661 kg/m^2*s^2	0.99913 force gram / cm^3
H2O18C	9793.11682299999666 kg/m^2*s^2	0.99862 force gram / cm^3
H2O20C	9789.29222949999894 kg/m^2*s^2	0.99823 force gram / cm^3
H2O25C	9777.91651549999733 kg/m^2*s^2	0.99707 force gram / cm^3
H2O50C	9689.65666549999878 kg/m^2*s^2	0.98807 force gram / cm^3
H2O100C	9398.49722699999984 kg/m^2*s^2	0.95838 force gram / cm^3
inch	0.0254000000000000024 m	2.54 cm
in	0.0254000000000000024 m	inch
foot	0.304800000000000015 m	12 inch
feet	0.304800000000000015 m	foot
ft	0.304800000000000015 m	foot
Rinfinity	10973731.5685389992 m^-1	10973731.568539 /m
R_H	10967760 m^-1	10967760 /m
alpha	0.00729735256639999982	7.2973525664e-3
bohrradius	5.2917721067488903e-11 m	alpha / 4 pi Rinfinity
prout	2.97203763158400022e-14 m^2*kg/s^2	185.5 keV
planckmass	2.17650999999999988e-08 kg	2.17651e-8 kg
m_P	2.17650999999999988e-08 kg	planckmass
plancktime	5.39105895420116605e-44 s	hbar / planckmass c^2
t_P	5.39105895420116605e-44 s	plancktime
plancklength	1.61619881510287697e-35 m	plancktime c
l_P	1.61619881510287697e-35 m	plancklength
deuteronchargeradius	2.14129999999999991e-15 m	2.1413e-15 m
protonchargeradius	8.75099999999999961e-16 m	0.8751e-15 m
electronmass	9.10938355570385163e-31 kg	5.48579909070e-4 u
m_e	9.10938355570385163e-31 kg	electronmass
protonmass	1.67262189732584613e-27 kg	1.007276466879 u
m_p	1.67262189732584613e-27 kg	protonmass
neutronmass	1.67492747109705606e-27 kg	1.00866491588 u
m_n	1.67492747109705606e-27 kg	neutronmass
muonmass	1.88353159390109317e-28 kg	0.1134289257 u
m_mu	1.88353159390109317e-28 kg	muonmass
deuteronmass	3.34358371888049842e-27 kg	2.013553212745 u
m_d	3.34358371888049842e-27 kg	deuteronmass
alphaparticlemass	6.64465722924161662e-27 kg	4.001506179127 u
m_alpha	6.64465722924161662e-27 kg	alphaparticlemass
taumass	3.16746161340959973e-27 kg	1.90749 u
m_tau	3.16746161340959973e-27 kg	taumass
tritonmass	5.00735666459732467e-27 kg	3.01550071632 u
m_t	5.00735666459732467e-27 kg	tritonmass
helionmass	5.00641269865007681e-27 kg	3.01493224673 u
m_h	5.00641269865007681e-27 kg	helionmass
electronwavelength	2.42631023703734403e-12 m	hplanck / m_e c
lambda_C	2.42631023703734403e-12 m	electronwavelength
protonwavelength	1.32140985417208943e-15 m	hplanck / m_p c
lambda_Cp	1.32140985417208943e-15 m	protonwavelength
neutronwavelength	1.31959090502153181e-15 m	hplanck / m_n c
lambda_Cn	1.31959090502153181e-15 m	neutronwavelength
bohrmagneton	9.27400999566503245e-24 m^2*A	e hbar / 2 electronmass
mu_B	9.27400999566503245e-24 m^2*A	bohrmagneton
nuclearmagneton	5.05078369983137966e-27 m^2*A	e hbar /  2 protonmass
mu_N	5.05078369983137966e-27 m^2*A	nuclearmagneton
mu_mu	-4.49044826000000025e-26 m^2*A	-4.49044826e-26 J/T
mu_p	1.4106067872999999e-26 m^2*A	1.4106067873e-26 J/T
mu_e	-9.28476462000000064e-24 m^2*A	-928.4764620e-26 J/T
mu_n	-9.66236500000000034e-27 m^2*A	-0.96623650e-26 J/T
mu_d	4.33073503999999972e-27 m^2*A	0.4330735040e-26 J/T
mu_t	1.50460950299999998e-26 m^2*A	1.504609503e-26 J/T
mu_h	-1.07461752200000006e-26 m^2*A	-1.074617522e-26 J/T
kgf	9.80664999999999942 m*kg/s^2	kg force
technicalatmosphere	98066.4999999999854 kg/m*s^2	kgf / cm^2
at	98066.4999999999854 kg/m*s^2	technicalatmosphere
hyl	9.80664999999999942 kg	kgf s^2 / m
mmHg	133.32238741499998 kg/m*s^2	mm Hg
torr	133.32236842105263 kg/m*s^2	atm / 760
tor	1 kg/m*s^2	Pa
inHg	3386.3886403409997 kg/m*s^2	inch Hg
inH2O	249.08890999999997 kg/m*s^2	inch water
mmH2O	9.80664999999999765 kg/m*s^2	mm water
lightsecond	299792458 m	c s
lightminute	17987547480 m	c min
rydberg	2.17987232481131225e-18 m^2*kg/s^2	hplanck c Rinfinity
crith	8.9885000000000011e-05 kg	0.089885 gram
lorentz	46.6864481456200764 s^2*A/m*kg	bohrmagneton / hplanck c
cminv	1.98644582400837055e-23 m^2*kg/s^2	hplanck c / cm
invcm	1.98644582400837055e-23 m^2*kg/s^2	cminv
wavenumber	1.98644582400837055e-23 m^2*kg/s^2	cminv
dyne	1.00000000000000008e-05 m*kg/s^2	cm gram / s^2
dyn	1.00000000000000008e-05 m*kg/s^2	dyne
erg	1.00000000000000009e-07 m^2*kg/s^2	cm dyne
poise	0.100000000000000006 kg/m*s	gram / cm s
P	0.100000000000000006 kg/m*s	poise
rhe	10 m*s/kg	/poise
stokes	0.000100000000000000005 m^2/s	cm^2 / s
St	0.000100000000000000005 m^2/s	stokes
stoke	0.000100000000000000005 m^2/s	stokes
lentor	0.000100000000000000005 m^2/s	stokes
Gal	0.0100000000000000002 m/s^2	cm / s^2
galileo	0.0100000000000000002 m/s^2	Gal
barye	0.100000000000000006 kg/m*s^2	dyne/cm^2
barad	0.100000000000000006 kg/m*s^2	barye
kayser	100 m^-1	1/cm
balmer	100 m^-1	kayser
kine	0.0100000000000000002 m/s	cm/s
bole	1.00000000000000008e-05 m*kg/s	g cm / s
pond	0.00980665000000000009 m*kg/s^2	gram force
glug	0.980665000000000009 kg	gram force s^2 / cm
darcy	9.86923266716012824e-13 m^2	centipoise cm^2 / s atm
mobileohm	999.999999999999886 s/kg	cm / dyn s
mechanicalohm	0.00100000000000000002 kg/s	dyn s / cm
acousticalohm	99999.9999999999854 kg/m^4*s	dyn s / cm^5
ray	99999.9999999999854 kg/m^4*s	acousticalohm
rayl	10 kg/m^2*s	dyn s / cm^3
eotvos	1.00000000000000006e-09 s^-2	1e-9 Gal/cm
abampere	10 A	10 A
abamp	10 A	abampere
abA	10 A	abampere
biot	10 A	abA
Bi	10 A	biot
abcoulomb	10 s*A	abamp sec
abcoul	10 s*A	abcoulomb
abvolt	1.00000000000000002e-08 m^2*kg/s^3*A	dyne cm  / abamp sec
abohm	1.00000000000000006e-09 m^2*kg/s^3*A^2	abvolt / abamp
abmho	999999999.999999881 s^3*A^2/m^2*kg	/abohm
gauss	9.99999999999999912e-05 kg/s^2*A	abvolt sec / cm^2
Gs	9.99999999999999912e-05 kg/s^2*A	gauss
maxwell	1.00000000000000002e-08 m^2*kg/s^2*A	abvolt sec
Mx	1.00000000000000002e-08 m^2*kg/s^2*A	maxwell
oersted	79.5774715459476596 A/m	gauss / mu0
Oe	79.5774715459476596 A/m	oersted
gilbert	0.795774715459476645 A	gauss cm / mu0
